Date,Payee & Memo,Amount,Memo,Number
8/7/2023,Card Purchase  08/06 Kaanapalishorsrestaura Lahaina HI Card 8832,-55.83,,
8/7/2023,Card Purchase  08/07 Tst* Lahaina Fish CO. Lahaina HI Card 8832,-147.8,,
8/9/2023,Card Purchase  08/07 Mcdonald's F6604 Lahaina HI Card 8832,-28.18,,
8/10/2023,Card Purchase  08/10 AZ Medical Board 480-551-2700 AZ Card 8832,-500,,
8/11/2023,Card Purchase  08/10 Mountain Mikes Pizza Redwood City CA Card 8832,-41.08,,
8/14/2023,Card Purchase  08/11 Usps PO 0544020254 Foster City CA Card 8832,-13.2,,
8/15/2023,Recurring Card Purchase 08/15 Comcast California 800-Comcast CA Card 8832,-70,,
8/15/2023,Card Purchase  08/15 Dd Doordash Fiveriver 855-973-1040 CA Card 8832,-23.25,,
8/15/2023,Card Purchase  08/15 Dd Doordash Aryagloba 855-973-1040 CA Card 8832,-184.84,,
8/16/2023,Card Purchase  08/15 Csj Smart Meters 4085353850 CA Card 8832,-0.5,,
8/16/2023,Card Purchase  08/15 Sq *Downtown San Jose F San Jose CA Card 8832,-16.12,,
8/16/2023,Card Purchase  08/15 Laz Parking 680131 8605227641 CA Card 8832,-10,,
8/16/2023,Card Purchase  08/15 Farmers Ins Billing 877-327-6392 CA Card 8832,-456.16,,
8/17/2023,Card Purchase  08/16 Dd Doordash Onohawaii 855-973-1040 CA Card 8832,-273.87,,
8/17/2023,Recurring Card Purchase 08/17 Doordash Dashpass Www.Doordash. CA Card 8832,-9.99,,
8/21/2023,Card Purchase  08/17 Burger King #3505 San Rafael CA Card 8832,-13.82,,
8/21/2023,Card Purchase  08/18 Taco Bell #031451 Pleasanton CA Card 8832,-4.83,,
8/21/2023,Card Purchase  08/19 WA Dept of Health Hsq 360-236-4508 WA Card 8832,-118.5,,
8/21/2023,Card Purchase  08/19 Dd Doordash Onohawaii 855-973-1040 CA Card 8832,-49.56,,
8/21/2023,Card Purchase  08/19 Dd Doordash Yummyhawa 855-973-1040 CA Card 8832,-187.08,,
8/21/2023,Recurring Card Purchase 08/20 Adobe *800-833-6687 Adobe.Ly/Enus CA Card 8832,-19.99,,
8/21/2023,Card Purchase  08/20 Mutual Protection Trus 800-2520555 CA Card 8832,-365,,
8/21/2023,Recurring Card Purchase 08/21 Koalendar.Com Httpskoalenda CA Card 8832,-9.99,,
8/22/2023,Card Purchase  08/22 Dd Doordash Onohawaii 855-973-1040 CA Card 8832,-75.95,,
8/22/2023,Card Purchase  08/22 Dd Doordash Onohawaii 855-973-1040 CA Card 8832,-41.94,,
8/24/2023,Card Purchase  08/24 Doordash*L&L Hawaiia Www.Doordash. CA Card 8832,-29.34,,
8/25/2023,Recurring Card Purchase 08/24 State Farm Insurance 800-956-6310 IL Card 8832,-75.16,,
8/25/2023,Card Purchase  08/25 Dd Doordash Onohawaii 855-973-1040 CA Card 8832,-46.61,,
8/25/2023,Recurring Card Purchase 08/24 Airtable.Com/Bill Httpsairtable CA Card 8832,-12,,
8/28/2023,Card Purchase  08/24 Torii Modesto CA Card 8832,-26.78,,
8/28/2023,Recurring Card Purchase 08/25 Wing Assistant Httpswingassi De Card 8832,-1534,,
8/28/2023,Recurring Card Purchase 08/27 Dropbox Sign Monthly Httpswww.Hell CA Card 8832,-20,,
8/28/2023,Card Purchase  08/27 Tst* The Village Pub Woodside CA Card 8832,-333.32,,
8/29/2023,Card Purchase  08/29 Dd Doordash Onohawaii 855-973-1040 CA Card 8832,-49.06,,
8/29/2023,"Card Purchase  08/28 Pau Hana Poke CO., LLC Kailua-Kona HI Card 8832",-20.88,,
8/29/2023,"Card Purchase  08/28 Pau Hana Poke CO., LLC Kailua-Kona HI Card 8832",-1.57,,
8/30/2023,Card Purchase  08/28 Big Island Abalone Kailua Kona HI Card 8832,-41.47,,
8/30/2023,Card Purchase  08/28 Hawaii Bbq Deli #2 Kailua Kona HI Card 8832,-29.14,,
8/31/2023,Card Purchase  08/31 Dd Doordash Onohawaii 855-973-1040 CA Card 8832,-49.06,,
8/23/2023,08/23 Online Transfer To Chk ...2003 Transaction#: 18245289644,-315,,
8/17/2023,Check 323,-2186.84,,323
